workspace_id,name,signup_date,plan
ws_uinfxnncf,Pulse,2025-01-23,free
ws_3rhpxme04,Keen Works,2025-01-04,pro
ws_agbr91ogh,Flux Tech,2025-01-01,free
ws_kyq5cfiov,Cosmic Systems,2024-11-24,pro
ws_bjr321rz6,Unity Labs,2024-11-22,free
ws_2y37gs11s,Wave Data,2024-10-28,pro
ws_e7u5hlmti,Helix Software,2024-10-27,pro
ws_frd4y7nmh,Glow,2024-10-21,free
ws_l3zzyo2i6,Echo,2024-10-21,free
ws_w5fd4ycv3,Riot Tech,2024-10-15,free
ws_lj5htaxch,Drift Software,2024-10-01,pro
ws_9ytduc1nq,Nova Works,2024-09-26,free
ws_47ak6fxh3,Accel,2024-09-16,pro
ws_46sk9hy4h,Drift Systems,2024-09-12,enterprise
ws_1iwhdtp54,Lunar Tech,2024-08-30,pro
ws_6aggl780l,Yield,2024-08-29,free
ws_e2y7tn9mj,Glow AI,2024-08-23,free
ws_x3rb99z7k,Bolt Solutions,2024-08-19,free
ws_eqgz7ax2o,Bolt Data,2024-08-05,free
ws_nyzcsvjna,Wave Software,2024-06-27,enterprise
ws_os4bq8tjl,Quest,2024-06-24,free
ws_52mhxs56j,Lunar,2024-06-17,enterprise
ws_z1z0f1k3w,Bolt AI,2024-06-11,free
ws_717bzay1s,Nova Data,2024-06-03,free
ws_ov6i2up1w,Orbit Labs,2024-04-21,free
ws_t7syiupzm,Jolt Systems,2024-04-17,free
ws_4e0otr5nv,Helix Labs,2024-04-14,free
ws_gmy545ops,Lunar Data,2024-03-20,free
ws_gfj7s1izy,Terra Works,2024-03-12,free
ws_qonxnig87,Glow Solutions,2024-03-09,free
ws_zi3m6fa2k,Flux,2024-02-29,pro
ws_ksl95auil,Echo AI,2024-02-26,free
ws_fb2nbu8os,Xenon,2024-02-21,enterprise
ws_al93iezwl,Riot,2024-02-20,free
ws_xa9g416no,Echo Works,2024-02-05,free
ws_87awqd6hj,Accel Studio,2024-01-24,enterprise
ws_c7g4n5iuk,Keen Data,2024-01-22,enterprise
ws_nl2xr2n0v,Sage Data,2024-01-19,pro
ws_fq5s5laox,Zoom,2024-01-16,free
ws_22lww9ury,Volt Solutions,2024-01-05,free
ws_r9dcb85fj,Bolt,2024-01-01,free
ws_pnakdjcsu,Iris,2023-12-29,free
ws_z3wv6006k,Xenon Labs,2023-12-28,free
ws_rgwc6l4dv,Unity,2023-12-22,free
ws_oq3f2q1e9,Jolt,2023-12-11,pro
ws_nu8kquhwj,Iris Studio,2023-12-09,free
ws_gpbj21rk2,Terra,2023-12-02,free
ws_hfsgpoeey,Nova Solutions,2023-11-18,pro
ws_8c6m1v2ds,Mist Systems,2023-11-11,pro
ws_7qjju3qf2,Yield Tech,2023-10-23,free
ws_1lolor8to,Nova AI,2023-10-21,pro
ws_1x8x7lht3,Keen,2023-09-24,free
ws_pf6d2vaop,Drift,2023-09-12,free
ws_tz55k5h8d,Helix,2023-09-03,free
ws_q5a6pa4pd,Orbit Works,2023-08-05,pro
ws_po6nle5y6,Cosmic,2023-07-14,free
ws_qjuf6cx2f,Unity Systems,2023-07-08,pro
ws_u5a7j1832,Helix Works,2023-06-26,pro
ws_e3fsepruk,Jolt Data,2023-06-15,free
ws_0suagvdun,Pulse Data,2023-06-14,free
ws_3jzk8j81n,Pulse Labs,2023-06-10,free
ws_hqqvu94kq,Wave,2023-06-07,free
ws_guhv9uu9m,Sage,2023-05-30,free
ws_j25ff1nl8,Iris Software,2023-05-26,pro
ws_1qyvt0umb,Iris Tech,2023-05-25,pro
ws_02d53q6hn,Orbit,2023-05-18,pro
ws_st3t79n0d,Wave Labs,2023-05-11,free
ws_5iogdq4d0,Yield Design,2023-03-25,pro
ws_hxpv3atsw,Riot Systems,2023-03-13,free
ws_4a94b9cf9,Orbit Software,2023-03-08,free
ws_knc6fs6pn,Wave AI,2023-03-07,free
ws_n36fz1xxi,Mist Studio,2023-02-28,free
ws_1iqg588vn,Iris Solutions,2023-02-23,pro
ws_z7qg0sbhe,Volt,2023-02-20,free